0.1 0.00365539 0.00365863 0.0036622  0.00365539 0.00365862 0.00366224 7.83015153e-10 3.13296428e-09 1.26630785e-08
0.3 0.00384162 0.0038513  0.00386202 0.00384109 0.00385093 0.00386178 1.63183409e-07 3.83934566e-07 7.34000717e-07
0.5 0.00403675 0.0040533  0.00406828 0.00403291 0.0040499  0.00406563 1.69031341e-06 3.04110340e-06 5.33099792e-06
0.7 0.00424617 0.00426845 0.00428837 0.00422978 0.00425525 0.00427799 8.53625529e-06 1.26709486e-05 1.91316088e-05
0.9 0.00447482 0.00450071 0.00452819 0.00443271 0.00446268 0.00449454 2.81749951e-05 3.75766251e-05 4.95932289e-05
1.0 0.0046005  0.00462874 0.00465483 0.00453308 0.0045687  0.00460396 4.58367455e-05 5.91242644e-05 7.40696073e-05
1.1 0.00473442 0.00476539 0.00479612 0.00464214 0.0046782  0.00471607 7.22153047e-05 8.67613466e-05 1.02976045e-04
1.3 0.00504106 0.00507453 0.00510899 0.00485539 0.00489782 0.00494027 0.00015731 0.00017864 0.00019683
1.5 0.0054066  0.00544508 0.00548528 0.00507086 0.00512157 0.0051741  0.00029935 0.00032518 0.00034778
1.7 0.00584644 0.00589871 0.00595965 0.00528832 0.00534971 0.00539731 0.00051658 0.00055476 0.00059108
1.9 0.00637363 0.00646862 0.00658247 0.00551495 0.00558364 0.00564457 0.00081137 0.00089299 0.00097418
2.1 0.00702258 0.00718877 0.00741581 0.00575291 0.00582102 0.00588622 0.001232   0.00136954 0.00157664
