0.010416667	51.04
0.020833333	58.14
0.03125	62.63
0.041666667	68.12
0.052083333	69.38
0.0625	71.56
0.072916667	74.02
0.083333333	77.1
0.09375	137.11
0.104166667	147.13
0.114583333	154.46
0.125	159.72
0.135416667	165.38
0.145833333	169.81
0.15625	173.75
0.166666667	178.27
0.177083333	246.52
0.1875	264.63
0.197916667	275.78
0.208333333	285.72
0.21875	293.92
0.229166667	301.71
0.239583333	313.12
0.25	318.52
0.260416667	412.36
0.270833333	445.16
0.28125	444.44
0.291666667	468.42
